deutsch,englisch
der Abfall,the rubbish
der Abflug,the departure
die Absage,the cancellation
aktiv,active
der Alkohol,the alcohol
angenehm,pleasant
annulliert,cancelled
die Anzeigetafel,the bulletin board
der Aufruf,the call
der Ausgang,the exit
die Ausstattung,the equipment
der Behälter,the container
betreten,to enter
der,the resident
die Bordkarte,the boarding pass
der,the camper
der Campingplatz,the campsite
der Check,the check
der Container,the container
die Dienstreise,the business trip
das Doppelbett,the double bed
das Doppelzimmer,the double room
einchecken,to check
die Einsteigezeit,the boarding time
das Einzelzimmer,the single room
erleben,to experience
der Flug,the flight
der,the flight attendant
der Fluggast,the passenger
die Fluggesellschaft,the airline
führen,to lead
füttern,to feed
das Gate,the gate
das Gepäck,the luggage
die Gepäckausgabe,the baggage reclaim
das Gepäckband,the luggage belt
gestattet sein,to be permitted
die Halbpension,the half
das Handgepäck,the hand luggage
historisch,historical
das Hostel,the hostel
hygienisch,hygienic
das Inlineskaten,the inline skating
die Jugendherberge,the youth hostel
der Katalog,the catalogue
klettern,to climb
komfortabel,comfortable
die Lage,the site
das Lagerfeuer,the campfire
landen,to land
der Lärm,the noise
die Lautsprecherdurchsage,the tannoy announcement
lebhaft,lively
die Leine,the rope
der Leuchtturm,the lighthouse
der Meerblick,the seaview
mitten,middle
der Nebel,the fog
neblig,foggy
das Paradies,the paradise
der,the passenger
die Passkontrolle,the passport control
der Pilotenstreik,the pilot strike
der Pool,the pool
rechtzeitig,on time
das Reisebüro,the travel agency
der Reiseplan,the itinerary
die Reiseplanung,the travel planning
reiten,to ride
die Ruhezeit,the rest period
sauber,clean
die Sauberkeit,the cleanliness
der Schalter,the desk
die Schlange,the snake
der Sonnenschirm,the parasol
die Sonnenterrasse,the sun terrace
der Sonnenuntergang,the sunset
der Stern,the star
stören,to disturb
das Streichholz,the match
streiken,to strike
die Taschenlampe,the torch
das Taschenmesser,the pocket knife
traumhaft,wonderful
übernachten,to stay overnight
die Übernachtung,the overnight stay
die Übernachtung mit Frühstück,the overnight stay with breakfast
die Umgebung,the surroundings
umgehend,immediately
verärgert,annoyed
verreisen,to travel
verschieben,to postpone
der Wanderer,the hiker
die Wandertour,the walking tour
der Waschraum,the laundry room
der Wohnwagen,the caravan
das Zelt,the tent
der Zoll,the customs
der Zuschlag,the fees
absprechen,to arrange
der Abstellplatz,the parking space
akzeptieren,to accept
anstreichen,to paint
der Ärger,the trouble
ärgerlich,annoying
die Aufregung,the commotion
die Ausnahme,the exception
das Balkongeländer,the balcony railing
befestigen,to secure
behalten,to keep
beleidigen,to offend
die Beleidigung,the insult
berechtigt,justified
beschimpfen,to insult
die Beschimpfung,the swear
beschweren,to complain
der Blumentopf,the flower pot
bohren,to drill
deswegen,that is why
dumm,stupid
eilig,urgent
einhalten,to comply
einlegen,to insert
einstellen,to set up
enden,to end
die Entscheidung,the decision
entspannend,relaxing
