German,English
absprechen,to arrange
aktiv,active
akzeptieren,to accept
andauernd,lasting
anfangs,initially
anfassen,to touch
angenehm,pleasant
anheben,to raise
ankündigen,to announce
annulliert,cancelled
anprobieren,to try on
anschauen,to look at
anstatt,instead
anstreichen,to paint
anstrengend,tiring
ärgerlich,annoying
atmungsaktiv,breathable
aufmerksam,attentive
aufschreiben,to write down
aufteilen,to divide
befestigen,to secure
befragen,to consult
begeistern,to inspire
behalten,to keep
belasten,to pollute
beleidigen,to offend
beliebt,popular
beobachten,to observe
berechtigt,justified
bereits,already
beschädigt,damaged
beschimpfen,to insult
beschweren,to complain
besiegen,to conquer
betreten,to enter
biologisch,biological
bohren,to drill
das Abgas,the exhaust gas
das Abwasser,the sewage
das Alter,the age
das Altöl,the waste oil
das Altpapier,the waste paper
das Aluminium,the aluminium
das Asyl,the asylum
das Autorennen,the motor racing
das Balkongeländer,the balcony railing
das Boxen,the boxing
das Callcenter,the call centre
das Diagramm,the diagram
das Doppelbett,the double bed
das Doppelzimmer,the double room
das Eigentum,the property
das Einzelzimmer,the single room
das Eishockey,the ice hockey
das Elektroauto,the electric car
das Energiesparhaus,the energy efficient house
das Erdbeben,the earthquake
das Ereignis,the event
das Ergebnis,the result
das Gate,the gate
das Gefühl,the feeling
das Gehalt,the salary
das Gepäck,the luggage
das Gepäckband,the luggage belt
das Gewürz,the spice
das Golf,the golf
das Handgepäck,the hand luggage
das Herz,the heart
das Hochwasser,the high-tide
das Hostel,the hostel
das Impressum,the imprint
das Inlineskaten,the inline skating
das Jahrhundert,the century
das Jahrzehnt,the decade
das Klima,the climate
das Kriegsende,the end of war
das Lager,the warehouse
das Lagerfeuer,the campfire
das Magazin,the magazine
das Meerschweinchen,the guinea pig
das Metall,the metal
das Mittelfeld,the mid-field
das Naturprodukt,the natural product
das Onlineshopping,the online shopping
das Paket,the parcel
das Paradies,the paradise
das Picknick,the picnic
das Plastik,the plastic
das Porto,the postage
das Radrennen,the cycling race
das Rätsel,the puzzle
das Reisebüro,the travel agency
das Shopping,the shopping
das Stadion,the stadium
das Stipendium,the scholarship
das Streichholz,the match
das Taschenmesser,the pocket knife
das Tor,the goal
das Trinkwasser,the drinking water
das Unrecht,the unjust
das Unwetter,the thunderstorm
das Urteil,the judgement
das Verständnis,the understanding
das Visum,the visa
das Weltall,the space
das Widerrufsrecht,the right of revocation
das Zelt,the tent
das Zusammenleben,the life together
demnächst,soon
demokratisch,democratic
der Abfall,the rubbish
der Abflug,the departure
der Abstellplatz,the parking space
der Alkohol,the alcohol
der Anstoß,the stimulus
der Ärger,the trouble
der Astronaut,the astronaut
der Aufruf,the call
der Auftrag,the order
der Ausgang,the exit
der Auswanderer,the emigrant
der Bankeinzug,the direct debit
der Behälter,the container
der Betrag,the sum
der Beutel,the bag
der Bewohner,the resident
der Bezahlvorgang,the payment process
der Biergarten,the beer garden
der Blumentopf,the flower pot
der Bundeskanzler,the federal chancellor
der Bürger,the citizen
der Bürgerkrieg,the civil war
der Camper,the camper
der Campingplatz,the campsite
der Check-in-Schalter,the check-in desk
der Datenschutz,the data protection
der Deckel,the lid
der Durchschnitt,the average
der Eierkarton,the egg box
der Eiskunstlauf,the ice skating
der Experte,the expert
der Fan,the fan
der Flüchtling,the refugee
der Flug,the flight
der Flugbegleiter,the flight attendant
der Förster,the woodsman
der Fußballclub,the football club
der Gegenstand,the object
der Gegenvorschlag,the counterproposal
der Gemeinschaftsraum,the common room
der Gutschein,the voucher
der Handball,the hand ball
der Haushalt,the household
