deutsch,englisch
die Abendkasse,the box office
abholen,to collect
aktuell,current
alle,all
anklicken,to click
die App,the app
aussuchen,to choose
der Benutzername,the user name
bestellen,to order
chatten,to chat
die Datei,the file
dich,you
diskutieren,to discuss
drucken,to print
der Eintritt,the entry
empfehlen,to recommend
die Empfehlung,the recommendation
flirten,to flirt
der Flohmarkt,the flea market
das Forum,the forum
funktionieren,to work
gebraucht,used
googeln,to google
herausfinden,to find out
herunterladen,to download
hochladen,to upload
informieren,to inform
international,international
das Internet,the Internet
das Kennwort,the password
die Kinokarte,the cinema ticket
klicken,to click
der Kommentar,the comment
kostenlos,free of charge
das Kulturcafé,the culture café
der,the reader
löschen,to delete
mailen,to mail
mich,me
mitkommen,to come along
mitmachen,to participate
nachschauen,to look up
der Neffe,the nephew
nervös,nervous
Newsletter,newsletter
oben,at the top
die Politik,the politics
prima,great
das Programm,the programme
die Radtour,the cycling tour
der Regen,the rain
der Regenschirm,the umbrella
die Reihenfolge,the order
reservieren,to book
die Reservierung,the booking
die Rolle,the role
sinken,to decrease
das Smartphone,the smartphone
speichern,to save
das Spielzeug,the toy
starten,to begin
die Startseite,the homepage
steigen,to increase
das Straßenfest,the street party
das Symbol,the symbol
tauschen,to swap
die Temperatur,the temperature
das Theater,the theatre
der Treffpunkt,the venue
unternehmen,to undertake
die Verabredung,the meet up
die Veranstaltung,the event
der Veranstaltungstipp,the event tip
der Vorschlag,the suggestion
die Welt,the world
die Wettervorhersage,the weather forecast
die Wirtschaft,the economy
das Würstchen,the sausage
zeitweise,occasionally
zuhören,to listen
zuschauen,to watch
abfahren,to depart
die Abfahrt,the departure
ankommen,to arrive
die Ankunft,the arrival
der Anschluss,the connection
der Anschlusszug,the connecting train
ausblenden,to fade out
ausfallen,to be cancelled
aussteigen,to get out
das Autofahren,the to drive a car
der Automat,the vending machine
das Bahnfahren,the rail travel
der Bahnsteig,the platform
bitten,to ask
buchen,to book
die Dauer,the duration
defekt,defective
deshalb,hence
drehen,to turn
drüben,over there
die Einfahrt,the entry
einsteigen,to board
erhalten,to receive
erreichen,to reach
der Fahrkartenschalter,the ticket office
der Fahrplan,the schedule
der Fernbus,the long
fliegen,to fly
das Flugzeug,the plane
der Grund,the ground
der Halt,the stop
hin,there
die Hinfahrt,the journey there
der,employee
mitnehmen,to take with
nah,close
nämlich,namely
die Nummer,the number
die Option,the option
passieren,to happen
das Pech,the bad luck
planmäßig,on schedule
preiswert,inexpensive
die Reisemöglichkeit,the travel option
das Reiseziel,the travel destination
die Richtung,the direction
die Rückfahrt,the return journey
der,the conductor
das Schild,the sign
schwarzfahren,to fare
schwierig,difficult
der,the senior
der Serviceschalter,the service counter
sondern,but
sparen,to save
die Station,the station
die Störung,the disruption
die Strafe,the penalty
die Strecke,the route
umsteigen,to change trains
die Umwelt,the environment
unterwegs,en route
die Verbindung,the connection
verehrt,“dear”
verpassen,to miss
verschlafen,to oversleep
verspätet,late
die Verspätung,the delay
die Vorsicht,the caution
wenig,little
wohl,probably
die Zeitschrift,the magazine
der Zoo,the zoo
ablesen,to read from
die Ablesung,the reading
abstellen,to turn off
afrikanisch,African
das Altglas,the waste glass
aufschließen,to unlock
ausführen,to execute
ausgeben,to spend
ausziehen,to move out
beachten,to consider
bedeuten,to mean
der Beinbruch,the leg fracture
berufstätig,employed
die Beschwerde,the complaint
besichtigen,to visit
der Bezirk,the district
der Biomüll,the biowaste
die Biotonne,the biowaste container
das Brett,the board
der Briefkasten,the mailbox
darum,therefore
dass,that
die Ecke,the corner
die Einbauküche,the built
einrichten,to furnish
die Einweihungsparty,the housewarming party
die Einwurfzeit,the time slot for putting out rubbish
einziehen,to move in
der Einzug,the move in
entsorgen,to dispose of
erfolgen,to take place
der Fahrradständer,the bicycle stand
die Fernwärme,the remote heating
das Gas,the gas
Gassi gehen,to walk the dog
gehören,to belong
gesondert,separate
der Glascontainer,the bottle bank
der,the house resident
der,the caretaker
die Hausordnung,the house rules
die Hausregel,the house rule
die Hausreinigung,the house cleaning
die Hausverwaltung,the property management
herzlich,warm
hoch,high
Hof,yard
hoffen,to hope
jemand,someone
der Kellerzugang,the cellar entrance
der Kinderwagen,the baby buggy
die Kleinmöbel,the small pieces of furniture
die Kommode,the dresser
kündigen,to terminate
legen,to lay
leidtun,to be sorry
der,the supplier
liefern,to supply
der,broker
der,tenant
der,roommate
die Mitteilung,the notification
die Müllabfuhr,the garbage disposal
die Nachbarschaft,the neighbourhood
die Nachricht,the message
der Nachtisch,the dessert
die Nähe,the proximity
ordnungsgerecht,properly
privat,private
reichlich,abundant
der Restmüll,the residual waste
schließlich,finally
schonen,to treat with care
setzen,to sit
sogar,even
sorgen,to care
sorgfältig,thoroughly
Spaziergang,walk
der Spiegel,the mirror
der Stellplatz,the parking space
die Tiefgarage,the underground garage
die Tonne,the barrel
trennen,to separate
die Treppe,the stairs
das Treppenhaus,the stairway
übernehmen,to assume
umziehen,to move
der Umzug,the move
der Umzugskarton,the moving box
die Vase,the vase
der Verbraucherzähler,the consumption meter
vereinbaren,to arrange
der,the landlord
vermieten,to let
vorhanden,available
wegen,due to
weil,because
weiterhin,still
die Wohngemeinschaft,the flat share
die Wohnungsbesichtigung,the flat viewing
der Wunsch,the wish
der Zähler,the meter
der Zugang,the entry
zuletzt,recently
zuzüglich,plus
abgeben,to submit
ablehnen,to refuse
abmelden,to deregister
die Abmeldung,the deregistration
ähnlich,similar
das Amt,the office
das Amtsdeutsch,the official German
ändern,to change
der,the relative
ankreuzen,to mark with a cross
die Anschrift,the address
der Antrag,the application
der,the applicant
die Arbeitsagentur,the employment agency
die Arbeitserlaubnis,the work permit
das Arbeitslosengeld,the unemployment benefit
der Arbeitsplatz,the workplace
die Arbeitsvermittlung,the employment service
der Aufenthalt,the stay
die Aufenthaltserlaubnis,the residence permit
aufrufen,to call up
der Ausbildungsplatz,the training place
das Ausländeramt,the immigration office
