id_vocab,german,english,score_german_english,score_english_german,try_session_german_english,try_session_english_german,last_success_german_english,last_success_english_german
1,frühstücken,to breakfast,0,0,False,True,1970-01-01,1970-01-01
2,das Wiedersehen,the good bye,0,0,False,True,1970-01-01,1970-01-01
3,die Information,the information,1,0,True,False,2021-08-03,1970-01-01
4,sollen,to be supposed to,0,1,False,True,1970-01-01,2021-08-03
5,die Kartoffel,the potato,0,1,False,True,1970-01-01,2021-08-03
6,der Müll,the rubbish,0,1,False,True,1970-01-01,2021-08-03
7,der Supermarkt,the supermarket,0,1,False,True,1970-01-01,2021-08-03
8,der Freund,the friend,0,0,False,True,1970-01-01,1970-01-01
9,stehen,to stand,0,1,False,True,1970-01-01,2021-08-03
10,die Wand,the wall,0,1,False,True,1970-01-01,2021-08-03
11,die Traumwohnung,the dream flat,0,0,False,False,1970-01-01,1970-01-01
12,langsam,slowly,0,0,False,False,1970-01-01,1970-01-01
13,die Möhre,the carrot,0,0,False,False,1970-01-01,1970-01-01
14,oder,or,0,0,False,False,1970-01-01,1970-01-01
15,das Büro,the office,0,0,False,False,1970-01-01,1970-01-01
16,der Becher,the container,0,0,False,False,1970-01-01,1970-01-01
17,die Dose,the jar,0,0,False,False,1970-01-01,1970-01-01
18,das Wohnzimmer,the living room,0,0,False,False,1970-01-01,1970-01-01
19,der Sport,the sport,0,0,False,False,1970-01-01,1970-01-01
20,das Lebensmittel,the groceries,0,0,False,False,1970-01-01,1970-01-01
