german,english
aber,but
allein,alone
alt,old
andere,other
anziehen,to put a clothe on
arbeiten,to work
attraktiv,attractive
auf Wiedersehen,goodbye
ausmachen,to turn off
beginnen,to begin
bis Bald,bye for now
bis Später,see you later
bitte,please
bitte sehr,you're welcome
blau,blue
danke,thank you
das Bier,the beer
das Brot,the bread
das Café,the café
das Eis,the ice
das Essen,the meal
das Geld,the money
das Gemüse,the vegetables
das Insekt,the insect
das Kind,the kid
das Kleid,the dress
das Lotto,the lottery
das Mädchen,the girl
das Öl,the oil
das Organ,the organ
das Pferd,the horse
das Salz,the salt
das Schwein,the pig
das Tier,the animal
das Wasser,the water
das Wissen,the knowledge
das Wort,the word
denken,to think
der Apfel,the apple
der Arkitekt,the architect
der Arzt,the doctor
der Aufgabe,the task
der Bruder,the brother
der Computer,the computer
der Ei,the egg
der Enkel,the grand-son
der Freund,the boyfriend
der Grossvater,the grand-father
der Herbst,the autumn
der Hund,the dog
der Journalist,the journalist
der Junge,the boy
der Käse,the cheese
der Kellner,the waiter
der Körper,the body
der Kühlschrank,the fridge
der Lehrer,the teacher
der Mann,the man
der Mantel,the coat
der Mechatroniker,the mechanic
der Mensch,the human
der Opa,the grandpa
der Orangensaft,the orange juice
der Partner,the partner
der Praktikant,the intern
der Prinz,the prince
der Pullover,the pull-over
der Reis,the rice
der Schauspieler,the actor
der Sekretär,the secretary
der Sohn,the son
der Sommer,the summer
der Statistiker,the statistician
der Stern,the star
der Student,the student
der Stuhl,the chair
der Tee,the tea
der Vater,the father
der Vogel,the bird
der Wein,the wine
der Winter,the winter
der Wurst,the sausage
Deutsch,German
Deutschland,Germany
die Angst,the fear
die Antwort,the answer
die Aussage,the statement
die Banane,the banana
die Bluse,the blouse
die Ehefrau,the wife
die Enkelin,the grand-daughter
die Ente,the duck
die Frage,the question
die Frau,the woman
die Gewinnzahl,the winning number
die Grossmutter,the grand-mother
die Hose,the pants
die Jacke,the jacket
die Kartoffel,the potato
die Katze,the cat
die Kirche,the church
die Kosmetik,the make-up
die Lampe,the lamp
die Milch,the milk
die Moral,the morality
die Mutter,the mother
die Oma,the grandma
die Schokolade,the chocolate
die Schwester,the sister
die Strumpfhose,the hoose
die Suppe,the soup
die Tomate,the tomato
die Tür,the door
die Zahl,the number
die Zeit,the time
die Zeitung,the newspaper
Dienstag,Tuesday
Donnerstag,Thursday
durst,thirsty
einmal,once
Englisch,English
entschuldigung,excuse-me
erste,first
es tut mir leid,I'm sorry
essen,to eat
falsch,wrong
fantastisch,fantastic
fertig,ready
frei,free
Freitag,Friday
fressen,to eat (animal)
geben,to give
gehen,to go
genau,I agree
geschieden,divorced
glauben,to believe
golden,golden
grau,grey
gross,big
gut,good
Gute Nacht,good night
Guten Abend,good evening
