id_vocab,german,english,score_german_english,score_english_german,retry_german_english,retry_english_german,try_session_german_english,try_session_english_german
1,rennen,to sprint,0,0,2022-01-01,2022-01-01,True,False
2,richtig,correct,0,0,2022-01-01,2022-01-01,True,False
3,September,September,0,0,2022-01-01,2022-01-01,True,False
4,sprechen,to speak,0,0,2022-01-01,2022-01-01,True,False
5,stimmen,to vote,0,0,2022-01-01,2022-01-01,True,False
6,verheiratet,married,0,0,2022-01-01,2022-01-01,True,False
7,wirklich,really,0,0,2022-01-01,2022-01-01,True,False
8,die Aprikose,the apricot,0,0,2022-01-01,2022-01-01,True,False
9,das Jahr,the year,0,0,2022-01-01,2022-01-01,True,False
10,viel,a lot,0,0,2022-01-01,2022-01-01,True,False
11,die Ärztin,the female doctor,0,0,2022-01-01,2022-01-01,True,False
12,zusammen,together,0,0,2022-01-01,2022-01-01,True,False
13,wilkommen,welcome,0,0,2022-01-01,2022-01-01,True,False
14,der Pokal,the cup,0,0,2022-01-01,2022-01-01,True,False
