German,English
fähig,able
abwesend,absent
absolut,absolute
akzeptabel,acceptable
quer,across
tätig,active
real,actual
untereinander,among each other
nervig,annoying
ängstlich,anxious
jedenfalls,anyway
auseinander,apart
angemessen,appropriate
gegebenenfalls,as applicable
beliebig,as desired
solange,as long as
erstaunlich,astonishing
zumindest,at least
höchstens,at most
frühestens,at the earliest
momentan,at the moment
zeitgleich,at the same time
automatisch,automatic
autonom,autonomous
verfügbar,available
vermeidbar,avoidable
bankrott,bankrupt
jmdm. böse sein (ugs.),be angry with sb
zuvor,before
mutig,brave
berufssprachlich,business language
anhand,by means of
abbrechen,cancel
berufsbezogen,career-related
kausal,causal
zentral,central
gewiss,certain
zertifiziert,certified
geprüft,checked
cif,cif
klassisch,classic
geschäftlich,commercial
gängig,common
wettbewerbsfähig,competitive
komplett,complete
vollkommen,completely
komplex,complex
konservativ,conservative
erheblich,considerable
konsequent,consistent
konstruktiv,constructive
erreichbar,contactable
heutig,contemporary
kontinuierlich,continually
vertraglich,contractual
herkömmlich,conventional
gekocht,cooked
ätzend,corrosive
rentenversichert,covered by pension insurance
cremeweiß,cream
derzeitig,current
derzeit,currently
täglich,daily
gefährlich,dangerous
dunkelblau,dark blue
dunkelgrau,dark green
benommen,dazed
erwünscht,desired
trotz,despite
detailliert,detailed
beeinträchtigend,detrimental
gegenstandslos,devoid of purpose
diagnostisch,diagnostic
digital,digital
DIN,DIN
verschmutzt,dirty
respektlos,disrespectful
machbar,do-able
dual,dual
fällig,due
dynamisch,dynamic
betriebswirtschaftlich,economic
wirtschaftlich,economical
schulisch,educational
effektiv,effective
erwerbstätig,employed
energieeffizient,energy-efficient
enorm,enormous
insbesondere,especially
hervorragend,excellent
ausgegrenzt,excluded
ausschließlich,exclusively
extern,external
extrem,extreme
gerecht,fair
familiär,familial
familienfreundlich,family-friendly
zimperlich,finicky
zunächst,first
steuerlich,fiscal
platt,flat
fob,fob
entgeltlich,for a fee
beispielsweise,for example
umsonst,for nothing
Standardization),for Standardization)
gratis,free
freiberuflich,freelance
fortan,from now on
lebenslustig,fun-loving
sanft,gently
global,global
brutto,gross
geschehen,happened
fröhlich,happy
fleißig,hard-working
HD,HD
festgehalten,held tight
dennoch,however
eh,huh
ideal,ideal
unverzüglich,immediate
gelaunt,in a
pflegebedürftig,in need of care
kleinschrittig,in small steps
vorrätig,in stock
diesbezüglich,in this regard
zweiteilig,in two parts
ausführlich,in-depth
hauseigen,in-house
ungenau,inaccurate
selbstständig,independent
einzeln,individual
unwirksam,ineffective
mangelnd,insufficient
intensiv,intensive
interkulturell,inter-cultural
ISO,ISO
arbeitssuchend,job-seeking
sowie,just as
hellgrau,light green
ebenfalls,likewise
beladen,loaded
örtlich,local
logisch,logical
niedrig,low
hauptsächlich,mainly
methodisch,methodical
mittellang,mid-length
fahrbar,mobile
bescheiden,modest
monoton,monotonous
zudem,moreover
notwendig,necessary
negativ,negative
netto,net
unterfordert,not challenged enough
nichtselbstständig,not self-employed
heutzutage,nowadays
sachlich,objective
gelegentlich,occasionally
volljährig,of age
allgemeinbildend,of general educational value
derartig,of its type
oftmals,oftentimes
Ach du meine Güte!,oh my goodness!
altmodisch,old-fashioned
beiderseits,on both sides
anlässlich,on the occasion of
rückseitig,on the reverse
einmalig,one-time
einwöchig,one-week
verkaufsoffen,open for business
betrieblich,operational
organisatorisch,organisational
unmodern,out of fashion
veraltet,outdated
ambulant,outpatient
überfordert,overwhelmed
parallel,parallel
zumal,particularly as
perlmuttfarben,pearly
pädagogisch,pedagogical
permanent,permanent
körperlich,physically
pragmatisch,pragmatic
frühzeitig,premature
