id_vocab,german,english
1,frühstücken,to breakfast
2,das Wiedersehen,the good bye
3,die Information,the information
4,sollen,to be supposed to
5,die Kartoffel,the potato
6,der Müll,the rubbish
7,der Supermarkt,the supermarket
8,der Freund,the friend
9,stehen,to stand
10,die Wand,the wall
11,die Traumwohnung,the dream flat
12,langsam,slowly
13,die Möhre,the carrot
14,oder,or
15,das Büro,the office
16,der Becher,the container
17,die Dose,the jar
18,das Wohnzimmer,the living room
19,der Sport,the sport
20,das Lebensmittel,the groceries
21,danke,thank you
22,das Rindfleisch,the beef
23,die Frau,the woman
24,die Mandarine,the mandarine
25,die Kontrolle,the control
26,alles,everything
27,das Zentrum,the centre
28,das Bett,the bed
29,der Mann,the man
30,der Couscous,the couscous
31,die Milch,the milk
32,laut,loud
33,das Schweinefleisch,the pork
34,das Geschäft,the business
35,die Stunde,the hour
36,der Hunger,the hunger
37,die Cola,the cola
38,groß,big
39,die Antwort,the answer
40,die Melone,the melon
41,das Schlafzimmer,the bedroom
42,der Alltag,the everyday
43,werden,to become
44,dann,then
45,der Stundenplan,the schedule
46,der Freitag,Friday
47,die Tasche,the bag
48,der Familienstand,the marital status
49,neben,next to
50,das Getränk,the drink
51,sofort,straight away
52,vorstellen,to introduce
53,müde,tired
54,die Woche,the week
55,der Deutschkurs,the German course
56,das Pfund,the pound
57,verwitwet,widowed
58,der Salat,the salad
59,kurz,short
60,die Packung,the packaging
61,die Postleitzahl,the postcode
62,für,for
63,breit,wide
64,die Mutter,the mother
65,die Dusche,the shower
66,das Wochenende,the weekend
67,aufstehen,to get up
68,die Sonne,the sun
69,das Geld,the money
70,der Rucksack,the backpack
71,verbinden,to connect
72,der Schluss,the decision
73,vor,before
74,der Feiertag,the public holiday
75,schmecken,to taste
76,das Heft,the booklet
77,die Telefonnummer,the telephone number
78,die Uhr,the clock
79,ganz,whole
80,wohnen,to live
81,nicht,not
82,der Juni,the june
83,die Straße,the street
84,die Stadt,the city
85,kaufen,to buy
86,das Kilo,the kilo
87,das Gemüse,the vegetables
88,der Balkon,the balcony
89,mögen,to like
90,warum,why
91,Deutsch,German
92,das Wörterbuch,the dictionary
93,beginnen,to start
94,der Satz,the sentence
95,schön,beautiful
96,der Projektor,the projector
97,übermorgen,the day after tomorrow
98,die Kichererbse,the chickpea
99,die Kaffeemaschine,the coffee machine
100,die Bohne,the bean
101,das Foto,the photo
102,dein,your
103,die Babynahrung,the baby food
104,streichen,to paint
105,das Gramm,the gram
106,die Möbel,the furniture
107,ungemütlich,uncomfortable
108,das Obst,the fruit
109,die Hauptsache,the main thing
110,die Tür,the door
111,das Mehrfamilienhaus,the apartment building
112,leider,unfortunately
113,der Donnerstag,Thursday
114,unser,our
115,heißen,to be called
116,insgesamt,in total
117,der Sonntag,Sunday
118,ja,yes
119,baden,to bath
120,möbliert,furnished
121,durch,through
122,der Tisch,the table
123,der Herd,the stove
124,die Terrasse,the terrace
125,der Teppich,the carpet
126,gepflegt,looked after
127,die Heizung,the heating
128,der Kursteilnehmer,the course participant
129,fragen,to ask
130,sonstiges,other
131,der Vorname,the forename
132,gestern,yesterday
133,der Fisch,the fish
134,jeder,every
135,die Liste,the list
136,da,there
137,der Euro,the euro
138,der Kuchen,the cake
139,das Fenster,the window
140,der Morgen,the morning
141,jetzt,now
142,das Frühstück,the breakfast
143,die Nudel,the pasta
144,der Joghurt,the yoghurt
145,mindestens,at least
146,bitte,please
147,der Dialog,the dialogue
148,wenn,if
149,ich,I
150,singen,to sing
151,das Gespräch,the interview
152,die Karte,the card
153,die Form,the form
154,der Lehrer,the teacher
155,hängen,to hang
156,bisschen,a little
157,klein,small
158,abends,in the evenings
159,Tschüss,bye
160,schlafen,to sleep
161,das Kind,the child
162,die Nacht,the night
163,der Saft,the juice
164,richtig,correct
