id_vocab,german,english
1,hässlich,ugly
2,das Organ,the organ
3,süss,sweet
4,der Mensch,the human
5,anziehen,to put a clothe on
6,heissen,to be named
7,arbeiten,to work
8,der Kellner,the waiter
9,Deutsch,German
10,auf Wiedersehen,goodbye
11,beginnen,to begin
12,September,September
13,der Herbst,the autumn
14,der Historiker,the historian
15,Himmel,Heaven
16,das Mehl,the flour
17,das Sonderangebot,the special offer
18,reservieren,to reserve
19,der Himmel,the sky
20,die SMS,the SMS
21,sauber,clean
22,die Tür,the door
23,oft,often
24,der Fernseher,the television
25,seltsam,strange
26,der Khaki,the khaki
27,der Joghurt,the yoghurt
28,leben,to live
29,der Kollege,the colleague
30,die Kirche,the church
31,das Ziel,the aim
32,emotional,emotional
33,die Zucchini,the zucchini
34,der Urlaub,the holiday
35,die Herberge,the hostel
36,der Garten,the garden
37,der Pass,the pass
38,es tut mir leid,I'm sorry
39,der Halt,the halt
40,März,March
41,der Tempel,the temple
42,die Konstellation,the constellation
43,die Geschichte,the history
44,die Position,the position
45,die Luft,the air
46,die Garantie,the guarantee
47,löschen,to delete
48,der Tod,the death
49,die Note,the grade
50,das Schwein,the pig
51,überfahren,to run over
52,der Cousin,the cousin
53,geduldig,patient
54,der Kindergarten,the nursery
55,die Überschwemmung,the flood
56,ständig,constant
57,sich lohnen,to be worth it
58,der Strömung,the flow
59,aushalten,to withstand
60,lachen,to laugh
61,währen,to last
62,die Gabe,the gift
63,der Pfeffer,the pepper
64,besondere,special
65,die Präposition,the preposition
66,der Geruchssin,the sense of smell
67,die Übersetzung,the translation
68,reiten,to ride
69,das Pokal,the cup
70,die Flanke,the flank
71,beachten,to pay attention
72,die Gegenstand,the object
73,der Freund,the boyfriend
74,die Erkenntnis,the knowledge
75,umfahren,to bypass
76,das Sprichwort,the proverb
77,die Hymne,the anthem
78,nah,close
79,die Regierung,the government
80,selten,rarely
81,der Vordergrund,the foreground
82,der Stern,the star
83,die Mandel,the almond
84,das Nashorn,the rhino
85,der Hahn,the rooster
86,erinnern,to remind
87,die rote Bete,the beetroot
88,der Ahn,the ancestor
89,der Kamm,the towel
90,ärgern,to annoy
91,hinten,behind
92,die Zahnbürste,the toothbrush
93,die Erkältung,the cold
94,die Kardone,the cardoon
95,statt,instead of
96,die Dattek,the date
97,vorstellen,to present
98,der Film,the movie
99,der Zwerg,the dwarf
100,sich verlieben,to fall in love
101,die Bürste,the brush
102,stumm,mute
103,das Gesetz,the law (G.)
104,bald,soon
105,sich die Zähne putzen,to brush one's teeth
106,der Posteingang,the inbox
107,das Waschen,the washing
108,schneiden,to cut
109,der Kürbis,the pumpkin
110,verdrängen,to replace
111,verpassen,to miss
112,beschenken,to make a present
113,der Magen,the stomach
114,leise,discrete
115,die Landwirtschaft,the agriculture
116,sonst,otherwise
117,wieder,another time
118,zum Geburtstag viel Glück,happy birthday
119,die Erbse,the pea
120,gelten,to apply
121,das Rührei,the scrambled egg
122,die Lösung,the solution
123,die Markise,the awning
124,die Brunnenkresse,the watercress
125,zwingend,mandatory
126,die Reineclaude,the greengage
127,die Ableitung,the derivation
128,wenig,little
129,der übersetzer,the translator
130,herzlich,cordial
131,unterhalten,to entertain
132,vorgedrungen,advanced
133,schmutzig,dirty
134,unterwegs,on the road
135,die Entscheidung,the decision
136,die Mütze,the cap
137,abmelden,to sign out
138,der Grünkohl,the kale
139,die Masche,the mesh
140,wandern,to hike
141,flüssig,liquid
142,die Ausflug,the excursion
143,die Fernbedienung,the remote
144,die Heizung,the heater
145,die Erläuterung,the explanation
146,messen,to measure
147,das Nasenbluten,the nosebleed
148,schiessen,to shoot
149,die Ausbildung,the training
150,regnen,to rain
151,daher,therefore
152,die Entfernung,the distance
153,die Stillzeit,the breastfeeding period
154,die Bedingung,the condition
155,das Gebäck,the pastry
156,höchst,highly
157,der Dachboden,the attic
158,das Töpfchen,the potty
159,der Tacker,the stapler
160,der Beutel,the sachet
161,der Opa,the grandpa
162,die Suppe,the soup
163,der Kühlschrank,the fridge
164,Englisch,English
165,Dienstag,Tuesday
166,die Frage,the question
167,Guten Abend,good evening
168,der Statistiker,the statistician
169,nein,no
170,alt,old
171,der Schauspieler,the actor
172,kommen,to come
173,mag,like
174,frei,free
175,waschen,to wash
176,der Vogel,the bird
177,die Antwort,the answer
178,Was machst du beruflich?,What is your work?
179,gut,good
180,grau,grey
181,die Maus,the mouse
182,vegetarier,vegetarian
183,die Socke,the sock
184,golden,golden
185,spenden,to donate
186,warum,why
187,die Banane,the banana
188,das Wort,the word
189,die Dinge,the thing
190,die Seife,the soap
191,die Spinne,the spider
192,der Sohn,the son
193,der Mann,the man
194,die Hose,the pants
195,wichtig,important
196,das Kino,the cinema
197,die Spezialität,the specialty
198,die Küche,the kitchen
199,die Stadt,the city
200,der Zucker,the sugar
201,hunger,hungry
202,modern,modern
203,der Spinat,the spinach
204,das Bein,the leg
205,die Firma,the company
206,das Blut,the blood
207,einfach,easy
208,die Kunst,the art
209,der Ursprung,the origin
210,langweilig,boring
211,das Gefühl,the feeling
212,altmodisch,old-fashioned
213,der Fotoapparat,the camera
214,die Motivation,the motivation
215,vergessen,to forget
216,sich erkälten,to catch a cold
217,gratis,free (money)
218,die Ecke,the corner
219,der Ventilator,the ventilator
220,sehen,to see
221,der Rest,the rest
222,die Meinung,the opinion
223,die Gesundheit,the health
224,der Lachs,the salmon
225,passieren,to happen
226,zu Hause,at home
227,der Ring,the ring
228,das Getränk,the drink
229,der Schrimp,the shrimp
230,das Jahrhundert,the century
231,ab A,from A
232,windig,windy
233,violett,violet
234,renovieren,to renovate
235,überall,everywhere
236,die Zensur,the censorship
237,tief,deep
238,beruflich,professional
239,brillieren,to shine
240,der Gegner,the opponent
241,die Pflaume,the plum
242,der Unterschied,the difference
243,der Mund,the mouth
244,die Osterglocke,the daffodil
245,in der Nähe,near
246,übersetzen,to translate
247,Guten Rutsch,Happy New Year (before)
248,der Ersatz,the replacement
249,die Atmosphäre,the atmosphere
250,die Kultur,the culture
251,verdoppeln,to double
252,die Nuss,the nut
253,das Netzwerk,the network
254,die Feder,the feather
255,die Taktik,the tactic
256,zwischen,between
257,das Papier,the paper
258,effektiv,effective
259,lösen,to loose
260,effizient,efficient
261,der Beginn,the beginning
262,der Tropfen,the drop
263,das Ufer,the shore
264,der Ritt,the ride
265,einsinken,to sink in
266,chaotisch,chaotic
267,die Mirabelle,the mirabelle
268,Ungar,Hungary
269,betreten,to enter
270,das Spielzeug,the toy
271,das Universum,the universe
272,rechts aussen,extreme right
273,tun,to do
274,die Arbeitsstelle,the job
275,die Abwesenheit,the absence
276,der Schimpanse,the chimpanzee
277,die Umweltpolitik,the environmental policy
278,ausgeben,to spend
279,lautstark,vocal
280,gebrochen,broken
281,bergauf,uphill
282,der Bildschirm,the screen
283,das Schnäppchen,the bargain
284,angeln,to fish
285,die Freundlichkeit,the kindness
286,der Bart,the beard
287,am Anfang,at the beginning
288,der Vorgang,the process
289,sterbend,dying
290,permanent,permanent
291,einzahlen,to deposit
292,kündigen,to terminate
293,der Diebstahl,the theft
294,gegensätzlich,opposite
295,der Geruch,the smell
296,der Vulkanausbruch,the volcanic eruption
297,die Krankheit,the disease
298,die Wanderung,the hike
299,die Aussage,the statement
300,der Staat,the state
301,der Mitspieler,the co-player
302,das Orchester,the orchestra
303,das Kätzchen,the kitten
304,das Interesse,the interest
305,der Torhüter,the goalkeeper
306,salonfähig,acceptable
307,der Markt,the market
308,oben,above
309,der Schnabel,the beak
310,die Nachricht,the message
311,die Opfergabe,the offering
312,folgen,to follow
313,ein bisschen,a bit
314,der Preis,the price
315,die Offenheit,the openness
316,der Daumen,the thumb
317,die Höflichkeit,the courtesy
318,das Handy,the mobile phone
319,blühen,to flower
320,der Rosenkohl,the Brussels sprout
321,geweiht,consecrated
322,frustrierend,frustrating
323,der Verkäufer,the seller
324,das Freibad,the outdoor pool
325,der Kuckuck,the cuckoo
326,der Beweis,the proof
327,das Mittelalter,the Middle Ages
328,die Quittung,the receipt
329,das Einkommen,the income
330,wie geht es dir?,how are you?
331,wissen,to realize
332,der Schal,the scarf
333,leiden,to suffer
334,aufstehen,to get up
335,die Schildkröte,the turtle
336,der Blick,the view
337,die Begegnung,the encounter
338,fleissig,hard-working
339,das Gesicht,the face
340,sich erinnern,to remember
341,die Quitte,the quince
342,anstehen,to queue
343,der Fehler,the mistake
344,das Geheimnis,the secret
345,das Arbeitszimmer,the study
346,der Schuh,the shoe
347,das Auge,the eye
348,blenden,to blind
349,die Erdkunde,the geography
350,ob,whether
351,die Ruhe,the calm
352,das Flugzeug,the plane
353,die Körperpflege,the personal hygiene
354,die schwarze Johannisbeere,the blackcurrant
355,wolkig,cloudy
356,der Sprung,the jump
357,vorn,in the front
358,die Ampel,the traffic light
359,glücklich,happy
360,zählen,to count
361,die Dose,the can
362,die Mangostanfrucht,the mangosteen
363,der Beruf,the profession
364,geschieden,divorced
365,der Laden,the store
366,bis Bald,bye for now
