German,English
abheben,to withdraw
abschalten,to switch off
aggressiv,aggressive
anders,different
anerkannt,recognised
anfordern,to request
angeben,to indicate
anhaben,to be wearing
ärgern,to annoy
asiatisch,asian
aufheben,to cancel
aufhören,to stop
aufpassen,to watch out
ausdrucken,to print
ausgezeichnet,excellent
ausmachen,to account for
ausreichend,enough
außer,apart from
bar,in cash
bargeldlos,cashless
basteln,to do crafts
befriedigend,satisfactory
begleichen,to settle
belegen,to prove
beraten,to advise
berechnen,to calculate
bereit,ready
bereitstellen,to make ready
besprechen,to discuss
bestimmt,surely
betätigen,to operate
betreffen,to relate to
bewahren,to save from
bewegen,to move
blond,blond
braten,to roast
brennen,to burn
bummeln,to stroll
bunt,colourful
dagegen,in contrast
daheim,at home
damals,back then
damit,so that
danken,to thank
darin,in it
das Bargeld,the cash
das Basketball,the basketball
das Berufskolleg,the vocational college
das Besteck,the cutlery
das Bundesland,the federal state
das Camping,the camping
das Ding,the thing
das Diplom,the diploma
das Duschgel,the shower gel
das Ehepaar,the married couple
das Event,the event
das Fach,the subject
das Fast Food,the fast food
das Feuerzeug,the lighter
das Freizeitangebot,the leisure opportunities
das Freizeitvergnügen,the pastime
das Gedicht,the poem
das Gericht,the meal
das Geschirr,the crockery
das Gipsbein,the leg in plaster
das Girokonto,the current account
das Glück,the luck
das Gold,the gold
das Gymnasium,the Grammar school
das Halbjahr,the half-year
das Handgelenk,the wrist
das Hauptgericht,the main meal
das Hausmittel,the home remedy
das Hufeisen,the horseshoe
das Kleeblatt,the cloverleaf
das Kleingeld,the small change
das Kompliment,the compliment
das Konto,the account
das Kreditinstitut,the credit institute
das Küchengerät,the kitchen appliance
das Lieblingsfach,the favourite subject
das Mädchen,the girl
das Make-up,the make up
das Marketing,the marketing
das Messer,the knife
das Mineralwasser,the mineral water
das Modegeschäft,the fashion shop
das Navigationsgerät,the navigation device
das Online-Banking,the online banking
das Open-Air-Konzert,the open air concert
das Personalbüro,the personnel office
das Pilates,the pilates
das Protokoll,the protocol
das Schach,the chess
das Schaubild,the diagram
das Schaufenster,the shop window
das Schnäppchen,the deal
