id_vocab,german,english,score_german_english,score_english_german,retry_german_english,retry_english_german,try_session_german_english,try_session_english_german
1,aber,but,0,0,2022-01-01,2022-01-01,False,False
2,allein,alone,0,1,2022-01-01,2022-01-01,False,False
3,alt,old,0,1,2022-01-01,2022-01-01,False,False
4,andere,other,0,0,2022-01-01,2022-01-01,False,False
5,anrufen,to phone,-1,0,2022-01-01,2022-01-01,True,False
6,anziehen,to put a clothe on,0,0,2022-01-01,2022-01-01,False,False
7,April,April,0,1,2022-01-01,2022-01-01,False,False
8,arbeiten,to work,0,0,2022-01-01,2022-01-01,False,False
9,attraktiv,attractive,0,0,2022-01-01,2022-01-01,False,False
10,auf Wiedersehen,goodbye,1,-1,2022-01-01,2022-01-01,False,True
11,August,August,0,0,2022-01-01,2022-01-01,False,False
12,ausmachen,to turn off,0,1,2022-01-01,2022-01-01,False,False
13,backen,to bake,0,1,2022-01-01,2022-01-01,False,False
14,beginnen,to begin,0,0,2022-01-01,2022-01-01,False,False
15,bequem,convenient,0,0,2022-01-01,2022-01-01,False,False
16,bezahlen,to pay,0,-1,2022-01-01,2022-01-01,False,False
17,bis Bald,bye for now,0,-1,2022-01-01,2022-01-01,False,False
18,bis Später,see you later,0,1,2022-01-01,2022-01-01,False,False
19,bitte,please,1,0,2022-01-01,2022-01-01,False,False
20,bitte sehr,you're welcome,1,0,2022-01-01,2022-01-01,True,False
21,blau,blue,0,0,2022-01-01,2022-01-01,False,False
22,blind,blind,1,0,2022-01-01,2022-01-01,False,False
23,danke,thank you,0,0,2022-01-01,2022-01-01,False,False
24,dann,then,3,0,2022-01-01,2022-01-01,False,False
25,das Alphabet,the alphabet,0,0,2022-01-01,2022-01-01,False,False
26,das Beispiel,the example,0,0,2022-01-01,2022-01-01,False,False
27,das Bier,the beer,0,0,2022-01-01,2022-01-01,False,False
28,das Brot,the bread,0,1,2022-01-01,2022-01-01,False,False
29,das Büro,the office,0,2,2022-01-01,2022-01-01,False,True
30,das Café,the café,0,1,2022-01-01,2022-01-01,False,False
31,das Camping,the camping,1,0,2022-01-01,2022-01-01,True,False
32,das Eis,the ice,0,0,2022-01-01,2022-01-01,False,False
33,das Essen,the meal,0,0,2022-01-01,2022-01-01,False,False
34,das Ethik,the ethique,-1,-1,2022-01-01,2022-01-01,False,True
35,das Geld,the money,0,1,2022-01-01,2022-01-01,False,True
36,das Gemüse,the vegetable,1,-1,2022-01-01,2022-01-01,True,False
37,das Handtuch,the towel,0,0,2022-01-01,2022-01-01,False,True
38,das Holz,the wood,0,0,2022-01-01,2022-01-01,False,False
39,das Hotel,the hotel,1,0,2022-01-01,2022-01-01,False,False
40,das Insekt,the insect,0,1,2022-01-01,2022-01-01,False,False
41,das Kind,the kid,0,0,2022-01-01,2022-01-01,False,False
42,das Kino,the cinema,0,0,2022-01-01,2022-01-01,False,False
43,das Kleid,the dress,1,-1,2022-01-01,2022-01-01,False,False
44,das Kreuz,the cross,1,0,2022-01-01,2022-01-01,True,False
45,das Leben,the life,0,0,2022-01-01,2022-01-01,False,False
46,das Lotto,the lottery,1,0,2022-01-01,2022-01-01,False,False
47,das Mädchen,the girl,1,0,2022-01-01,2022-01-01,True,False
48,das Material,the material,1,1,2022-01-01,2022-01-01,False,False
49,das Meer,the sea,1,-1,2022-01-01,2022-01-01,True,False
50,das Mehl,the flour,0,-1,2022-01-01,2022-01-01,False,False
51,das Metall,the metal,0,0,2022-01-01,2022-01-01,False,False
52,das Obst,the fruit,0,0,2022-01-01,2022-01-01,False,False
53,das Öl,the oil,0,1,2022-01-01,2022-01-01,False,False
54,das Omelette,the omelette,0,0,2022-01-01,2022-01-01,False,False
55,das Organ,the organ,0,0,2022-01-01,2022-01-01,False,False
56,das Pferd,the horse,0,1,2022-01-01,2022-01-01,False,False
57,das Praktikum,the internship,1,1,2022-01-01,2022-01-01,False,False
58,das Produkt,the product,0,0,2022-01-01,2022-01-01,False,False
59,das Pronomen,the pronoun,0,0,2022-01-01,2022-01-01,False,False
60,das Protokoll,the protocol,0,0,2022-01-01,2022-01-01,False,False
61,das Radio,the radio,2,0,2022-01-01,2022-01-01,False,False
62,das Recht,the right,0,0,2022-01-01,2022-01-01,False,False
63,das Restaurant,the restaurant,1,0,2022-01-01,2022-01-01,False,False
64,das Rezept,the recipe,0,0,2022-01-01,2022-01-01,False,False
65,das Salz,the salt,0,0,2022-01-01,2022-01-01,False,False
66,das Schiff,the ship,0,-1,2022-01-01,2022-01-01,False,True
67,das Schlafzimmer,the bedroom,0,0,2022-01-01,2022-01-01,False,False
68,das Schwein,the pig,0,1,2022-01-01,2022-01-01,False,False
69,das Sofa,the sofa,0,0,2022-01-01,2022-01-01,False,False
70,das Sonderangebot,the special offer,1,-2,2022-01-01,2022-01-01,True,False
71,das Stück,the piece,0,-1,2022-01-01,2022-01-01,False,False
72,das Telefon,the telephone,0,0,2022-01-01,2022-01-01,False,False
73,das Tier,the animal,1,0,2022-01-01,2022-01-01,False,False
74,das TischTennis,the table tennis,0,0,2022-01-01,2022-01-01,False,False
75,das Wasser,the water,0,0,2022-01-01,2022-01-01,False,False
76,das Wissen,the knowledge,1,1,2022-01-01,2022-01-01,False,True
77,das Wohnzimmer,the living room,0,-1,2022-01-01,2022-01-01,False,False
78,das Wort,the word,2,0,2022-01-01,2022-01-01,True,False
79,das Zebra,the zebra,0,1,2022-01-01,2022-01-01,False,False
80,denken,to think,1,0,2022-01-01,2022-01-01,False,False
81,der Apfel,the apple,0,-1,2022-01-01,2022-01-01,False,False
82,der Arkitekt,the architect,1,0,2022-01-01,2022-01-01,False,False
83,der Arm,the arm,1,-1,2022-01-01,2022-01-01,True,False
84,der Arzt,the doctor,0,1,2022-01-01,2022-01-01,False,False
85,der Aufgabe,the task,0,0,2022-01-01,2022-01-01,False,False
86,der Bär,the bear,0,0,2022-01-01,2022-01-01,False,False
87,der Berg,the mountain,0,-1,2022-01-01,2022-01-01,False,False
88,der Bruder,the brother,0,0,2022-01-01,2022-01-01,False,False
89,der Computer,the computer,1,0,2022-01-01,2022-01-01,False,False
90,der Ei,the egg,0,0,2022-01-01,2022-01-01,False,False
91,der Elefant,the elephant,0,0,2022-01-01,2022-01-01,False,False
92,der Enkel,the grand-son,1,1,2022-01-01,2022-01-01,False,False
93,der Fisch,the fish,0,0,2022-01-01,2022-01-01,False,False
94,der Fluss,the river,0,0,2022-01-01,2022-01-01,False,False
95,der Freund,the boyfriend,1,0,2022-01-01,2022-01-01,False,False
96,der Friseur,the hairdresser,0,0,2022-01-01,2022-01-01,False,False
97,der Fuss,the foot,0,0,2022-01-01,2022-01-01,False,False
98,der Fussball,the football,0,0,2022-01-01,2022-01-01,False,False
99,der Geist,the ghost,1,0,2022-01-01,2022-01-01,False,False
100,der Grossvater,the grand-father,0,0,2022-01-01,2022-01-01,False,False
101,der Hals,the neck,0,1,2022-01-01,2022-01-01,False,False
102,der Herbst,the autumn,0,0,2022-01-01,2022-01-01,False,False
103,der Himmel,the sky,1,0,2022-01-01,2022-01-01,False,False
104,der Historiker,the historian,0,0,2022-01-01,2022-01-01,False,False
105,der Hund,the dog,1,0,2022-01-01,2022-01-01,True,False
106,der Journalist,the journalist,0,0,2022-01-01,2022-01-01,False,False
107,der Junge,the boy,0,0,2022-01-01,2022-01-01,False,False
108,der Kalender,the calendar,0,-1,2022-01-01,2022-01-01,False,False
109,der Käse,the cheese,1,-1,2022-01-01,2022-01-01,True,False
110,der Kellner,the waiter,0,0,2022-01-01,2022-01-01,False,False
111,der Köchenchef,the cook,-1,0,2022-01-01,2022-01-01,True,False
112,der Köfer,the cockroach,0,0,2022-01-01,2022-01-01,False,False
113,der Konflikt,the conflict,0,-1,2022-01-01,2022-01-01,False,False
114,der Kopf,the head,1,0,2022-01-01,2022-01-01,True,False
115,der Körper,the body,0,0,2022-01-01,2022-01-01,False,False
116,der Kühlschrank,the fridge,0,0,2022-01-01,2022-01-01,False,False
117,der Kunststoff,the plastic,0,-1,2022-01-01,2022-01-01,False,False
118,der Laptop,the laptop,0,0,2022-01-01,2022-01-01,False,False
119,der Lehrer,the teacher,1,0,2022-01-01,2022-01-01,False,False
120,der Leopard,the leopard,0,-1,2022-01-01,2022-01-01,False,False
121,der Löwe,the lion,1,0,2022-01-01,2022-01-01,False,False
122,der Maler,the painter,0,0,2022-01-01,2022-01-01,False,False
123,der Mann,the man,1,0,2022-01-01,2022-01-01,True,False
124,der Mantel,the coat,0,0,2022-01-01,2022-01-01,False,False
125,der Mechatroniker,the mechanic,2,0,2022-01-01,2022-01-01,True,False
126,der Mensch,the human,0,-1,2022-01-01,2022-01-01,False,True
127,der Nachmittag,the afternoon,-1,0,2022-01-01,2022-01-01,True,False
128,der Opa,the grandpa,0,0,2022-01-01,2022-01-01,False,False
129,der Orangensaft,the orange juice,0,-2,2022-01-01,2022-01-01,False,False
130,der Partner,the partner,1,0,2022-01-01,2022-01-01,False,False
131,der Praktikant,the intern,1,1,2022-01-01,2022-01-01,False,True
