deutsch,englisch
das Accessoire,the accessory
die AG,the ltd.
die Altenpflege,the care of the elderly
die Anfahrt,the arrival
der,the plant mechanic
das Arbeitsamt,the job centre
die Arbeitsstätte,the workplace
die Automatisierungstechnik,the automation technology
die Automobilindustrie,the automotive industry
der Automobilzulieferer,the automotive supplier
der Bankettsaal,the banquet hall
die Baustelle,the construction site
die Betreuung,the mentoring
der Betrieb,the operation
der Bezirk,the district
der,the interpreter
die EC,the ec card
der Einzelhandel,the retail
der,the electrician
der Elektromarkt,the electrical store
der Export,the export
die Fachübersetzung,the specialist translation
der Fahrdienst,the transport service
die Fahrzeugsicherheit,the vehicle safety
die Fertigungstechnik,the manufacturing technology
der,the freelancer
das Frühstücksbüfett,the breakfast buffet
die Garantieleistung,the warranty coverage
die Gartenterrasse,the garden patio
die Geborgenheit,the feeling of security
die Gehminute,the
der Großraum,the greater area
der,the distributor
das Heim,the home
die Heizungsinstallation,the heating system
der,the helper
der,the manufacturer
die Homepage,the home page
der,the hotel manager
die HR,the hr
die IHK,the cic
der,the investor
die Karriere,the career
die Klinik,the clinic
die Konferenz,the conference
das Konferenzzentrum,the conference centre
der,the customer service advisor
der Kundenservice,the customer service
die Lebensqualität,the quality of life
das Leistungsspektrum,the range of services
das Lektorat,the proofreading
das Logo,the logo
die Marke,the brand
der Master,the master’s degree
das Menü,the menu
die Montage,the assembly
die Nachhaltigkeit,the sustainability
das Netz,the web
der Notfall,the emergency
das Notfallzentrum,the emergency centre
die Orthopädie,the orthopaedics
der,the human resource manager
die Pflege,the care
der,the carer
die Presse,the press
die Produktvielfalt,the product diversity
der Rahmen,the frame
die Rezeption,the reception
das Rohr,the pipe
der,the person responsible
die Sanitärfirma,the sanitary service company
das Schriftstück,the written document
das Seniorenstift,the care home for the elderly
die Servicekraft,the waiter
der,the specialist
die Suite,the suite
die Technik,the technology
die Technikerschule,the technical school
die Textilfirma,the textile company
die Textilien,the textiles
das Tischtennis,the table tennis
der,the translator
der Übersetzungsdienst,the translation agency
die Übersetzungsleistung,the translation service
die Unfallchirurgie,the emergency surgery
der Wartungsdienst,the maintenance service
abhängen,to hang around
abwarten,to wait for
altmodisch,old
angemessen,appropriate
annehmen,to accept
die Anredeform,the form of address
ansprechen,to address
die Arbeitsatmosphäre,the working atmosphere
das Arbeitsleben,the working life
arbeitslos,unemployed
der Arbeitsmarkt,the job market
das Argument,the argument
die Atmosphäre,the atmosphere
der Ausbildungsberuf,the skilled occupation
die Ausbildungsform,the form of training
die Auseinandersetzung,the discussion
aushelfen,to help out
ausladen,to unload
auspacken,to unpack
ausschließen,to exclude
auswählen,to select
die Baufirma,the construction company
beitragen,to contribute
beladen,loaded
die Berufschance,the career prospect
die Berufsmöglichkeit,the career opportunity
die Bildung,the education
die Branche,the branch
die Buchführung,the accounting
das Computerzubehör,the computer accessories
dienstältere,senior
die Distanz,the distance
dual,dual
durchführen,to carry out
duzen,to use the ‘du’ form
dynamisch,dynamic
einheitlich,standard
einräumen,to concede
einsortieren,to sort
einzeln,individual
entspannt,relaxed
die Fabrik,the fabric
die Finanzabteilung,the finance department
die Firmenkultur,the company culture
die Firmenphilosophie,the company philosophy
gebrauchen,used
die Gehaltsabrechnung,the payslip
die Geschäftsleitung,the executive committee
gewiss,certain
herumgehen,to go around
die Hierarchie,the hierarchy
ideal,ideal
der,the idiot
das Image,the image
die Immobilienbranche,the real estate industry
die Immobilienfirma,the real estate company
die Informatik,the information technology
der Internetauftritt,the online presence
jedenfalls,anyway
der,the journalist
die Konkurrenz,the competition
konservativ,conservative
die Kundenzufriedenheit,the customer satisfaction
das Laboratorium,the laboratory
der Lautsprecher,the loud speaker
leichtfallen,to be easy for sb
locker,relaxed
die Logistik,the logistics
der Lohn,the wage
die Lohnabrechnung,the payslip
die Marketingabteilung,the marketing department
die Marktstudie,the market study
die Medienbranche,the media industry
das Mediendesign,the media design
die Metallindustrie,the metal industry
das Möbelhaus,the furniture store
die Pharmaindustrie,the pharmaceutical industry
plaudern,to chat
die Produktion,the production
die Regelung,the regulation
respektlos,disrespectful
respektvoll,respectful
der Schritt,the step
die Sicht,the sight
siezen,to use the ‘Sie’ form
signalisieren,to signal
skeptisch,sceptical
der,the speaker
die Stellung,the position
suggerieren,to suggest
die Tastatur,the keyboard
der Tourismus,the tourism
der Transport,the transport
transportieren,to transport
das Umfeld,the environment
umkehren,to turn back
unkompliziert,uncomplicated
unsachlich,unobjective
unsicher,uncertain
die Unternehmenskultur,the corporate culture
die Unternehmensstruktur,the Unternehmensstrukturen corporate structure
verhalten,to behave
der Verkauf,the sale
das Verkaufstalent,the sales talent
die Vertrautheit,the familiarity
der,the superior
der Wandel,the change
die Webcam,the webcam
die Werbestrategie,the marketing strategy
wirken,to have an effect
zielen,to target
die Zuständigkeit,the responsibility
das Altenwohnheim,the old people’s home
die Altersbegrenzung,the age limit
ambulant,outpatient
die Angebotserstellung,the quote generation
anhören,to listen to
anrichten,to cause
anschließen,to connect
die Arbeitsförderung,the employment promotion
der,the employment agency
assistieren,to assist
aufnehmen,to receive
die Ausbildungsart,the type of qualification
der Ausbildungsaufbau,the structure of qualification
die Ausbildungsstelle,the training institute
die Ausbildungszeit,the training period
die Ausschreibung,the call for tender
die Bedienung,the service
die Behinderung,the disability
beispielsweise,for example
berufsbezogen,career
das Berufsbild,the job outline
